data,codice_istat,comune,provincia,colore,label,desc,pgrid
2026-07-14,081001,Alcamo,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",310225
2026-07-14,081002,Buseto Palizzolo,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308911
2026-07-14,081003,Calatafimi-Segesta,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",312824
2026-07-14,081004,Campobello di Mazara,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",321281
2026-07-14,081005,Castellammare del Golfo,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308919
2026-07-14,081006,Castelvetrano,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",319982
2026-07-14,081007,Custonaci,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306956
2026-07-14,081008,Erice,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308905
2026-07-14,081009,Favignana,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",312153
2026-07-14,081010,Gibellina,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",316084
2026-07-14,081011,Marsala,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",316058
2026-07-14,081012,Mazara del Vallo,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",320622
2026-07-14,081013,Paceco,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",310205
2026-07-14,081015,Partanna,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",318684
2026-07-14,081016,Poggioreale,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",317390
2026-07-14,081017,Salaparuta,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",317388
2026-07-14,081018,Salemi,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",315425
2026-07-14,081019,Santa Ninfa,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",316731
2026-07-14,081020,San Vito Lo Capo,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303704
2026-07-14,081021,Trapani,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",312817
2026-07-14,081022,Valderice,TP,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308255
